Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
R6IDN 12xlarge,r6idn.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,75 Gigabit,37500 Mbps,4687.5 MB/s,150000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$5.7283 hourly,$3.6088 hourly,$6.9187 hourly,$4.7992 hourly,$5.8533 hourly,$3.6687 hourly,$7.9363 hourly,$5.8168 hourly,$8.7475 hourly,$6.6280 hourly,$13.6963 hourly,$11.5768 hourly,$25.9363 hourly,$23.8168 hourly,$6.5395 hourly,$4.4200 hourly,$11.4883 hourly,$9.3688 hourly,$23.7283 hourly,$21.6088 hourly,$1.1723 hourly
C5N 18xlarge,c5n.18xlarge,192 GiB,281 units,72 vCPUs,0,,0 GiB,0,0,3.9028 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.0760 hourly,$3.1980 hourly,$5.8540 hourly,$3.9750 hourly,$5.2010 hourly,$3.2580 hourly,$8.3880 hourly,$6.5100 hourly,$9.6050 hourly,$7.7270 hourly,$17.0280 hourly,$15.1500 hourly,$35.3880 hourly,$33.5100 hourly,$6.2930 hourly,$4.4150 hourly,$13.7160 hourly,$11.8380 hourly,$32.0760 hourly,$30.1980 hourly,$0.2700 hourly
R6ID Eight Extra Large,r6id.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,1900 GB NVMe SSD,Yes,No,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.7840 hourly,$1.7539 hourly,$3.1296 hourly,$2.0995 hourly,$2.9090 hourly,$1.8138 hourly,$4.2560 hourly,$3.2259 hourly,$4.7968 hourly,$3.7667 hourly,$8.0960 hourly,$7.0659 hourly,$16.2560 hourly,$15.2259 hourly,$3.3248 hourly,$2.2947 hourly,$6.6240 hourly,$5.5939 hourly,$14.7840 hourly,$13.7539 hourly,$0.6048 hourly
I3EN 12xlarge,i3en.12xlarge,384 GiB,168 units,48 vCPUs,0,,0 GiB,0,0,3.5000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,30000 GB (4×7500 GB NVMe SSD),Yes,No,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$6.5040 hourly,$4.4480 hourly,$7.0220 hourly,$4.9660 hourly,$6.6290 hourly,$4.5080 hourly,$8.7120 hourly,$6.6560 hourly,$9.5230 hourly,$7.4670 hourly,$14.4720 hourly,$12.4160 hourly,$26.7120 hourly,$24.6560 hourly,$7.3150 hourly,$5.2590 hourly,$12.2640 hourly,$10.2080 hourly,$24.5040 hourly,$22.4480 hourly,$0.2700 hourly
M6IN Extra Large,m6in.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 30 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.3510 hourly,$0.2211 hourly,$0.4786 hourly,$0.3487 hourly,$0.4073 hourly,$0.2711 hourly,$0.5350 hourly,$0.4051 hourly,$0.6026 hourly,$0.4727 hourly,$1.0150 hourly,$0.8851 hourly,$2.0350 hourly,$1.9051 hourly,$0.4186 hourly,$0.2887 hourly,$0.8310 hourly,$0.7011 hourly,$1.8510 hourly,$1.7211 hourly,$0.0696 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,4096 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$38.6820 hourly,$23.8010 hourly,$41.2548 hourly,$26.3738 hourly,$38.8070 hourly,$23.8610 hourly,$44.5700 hourly,$29.6890 hourly,$46.7332 hourly,$31.8522 hourly,$59.9300 hourly,$45.0490 hourly,$92.5700 hourly,$77.6890 hourly,$40.8452 hourly,$25.9642 hourly,$54.0420 hourly,$39.1610 hourly,$86.6820 hourly,$71.8010 hourly,$6.6690 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,281 units,72 vCPUs,0,,0 GiB,0,0,3.9028 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$3.9960 hourly,$2.5170 hourly,$4.7740 hourly,$3.2950 hourly,$4.0960 hourly,$2.5500 hourly,$7.3080 hourly,$5.8290 hourly,$8.5250 hourly,$7.0460 hourly,$15.9480 hourly,$14.4690 hourly,$34.3080 hourly,$32.8290 hourly,$5.2130 hourly,$3.7340 hourly,$12.6360 hourly,$11.1570 hourly,$30.9960 hourly,$29.5170 hourly,$0.2700 hourly
C6IN Metal,c6in.metal,256 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,Yes,Yes,Unknown,No,$9.4752 hourly,$5.9694 hourly,$10.7040 hourly,$7.1982 hourly,$9.6002 hourly,$6.0293 hourly,$15.3632 hourly,$11.8574 hourly,$17.5264 hourly,$14.0206 hourly,$30.7232 hourly,$27.2174 hourly,$63.3632 hourly,$59.8574 hourly,$11.6384 hourly,$8.1326 hourly,$24.8352 hourly,$21.3294 hourly,$57.4752 hourly,$53.9694 hourly,unavailable
C7A Eight Extra Large,c7a.8xlarge,64 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C5N 9xlarge,c5n.9xlarge,96 GiB,139 units,36 vCPUs,0,,0 GiB,0,0,3.8611 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.5380 hourly,$1.5990 hourly,$3.4310 hourly,$2.4920 hourly,$2.6630 hourly,$1.6590 hourly,$4.1940 hourly,$3.2550 hourly,$4.8020 hourly,$3.8630 hourly,$8.5140 hourly,$7.5750 hourly,$17.6940 hourly,$16.7550 hourly,$3.1460 hourly,$2.2070 hourly,$6.8580 hourly,$5.9190 hourly,$16.0380 hourly,$15.0990 hourly,$0.2700 hourly
