"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0053 hourly","$0.0033 hourly","$0.0017 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0059 hourly","$0.0037 hourly","$0.0019 hourly","$0.0105 hourly","$0.0083 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0066 hourly","$0.0042 hourly","$0.0020 hourly","$0.0112 hourly","$0.0088 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","$0.0073 hourly","$0.0049 hourly","unavailable","$0.0096 hourly","$0.0072 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0106 hourly","$0.0067 hourly","$0.0032 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0119 hourly","$0.0075 hourly","$0.0036 hourly","$0.0211 hourly","$0.0167 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0132 hourly","$0.0083 hourly","$0.0040 hourly","$0.0224 hourly","$0.0175 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","$0.0146 hourly","$0.0098 hourly","$0.0044 hourly","$0.0192 hourly","$0.0144 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","$0.0200 hourly","$0.0160 hourly","$0.0041 hourly","$0.0200 hourly","$0.0190 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0212 hourly","$0.0134 hourly","$0.0064 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0238 hourly","$0.0150 hourly","$0.0084 hourly","$0.0422 hourly","$0.0334 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0264 hourly","$0.0166 hourly","$0.0088 hourly","$0.0448 hourly","$0.0350 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0292 hourly","$0.0196 hourly","$0.0088 hourly","$0.0384 hourly","$0.0288 hourly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0333 hourly","$0.0210 hourly","$0.0089 hourly","unavailable","unavailable"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0424 hourly","$0.0267 hourly","$0.0127 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0444 hourly","$0.0280 hourly","$0.0181 hourly","unavailable","unavailable"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0472 hourly","$0.0312 hourly","$0.0190 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0475 hourly","$0.0299 hourly","$0.0159 hourly","$0.0659 hourly","$0.0483 hourly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0480 hourly","$0.0302 hourly","$0.0190 hourly","unavailable","unavailable"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0505 hourly","$0.0315 hourly","$0.0181 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0528 hourly","$0.0333 hourly","$0.0167 hourly","$0.0712 hourly","$0.0517 hourly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0565 hourly","$0.0357 hourly","$0.0181 hourly","unavailable","unavailable"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0570 hourly","$0.0357 hourly","$0.0190 hourly","unavailable","unavailable"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB                 HDD","Low","$0.0580 hourly","$0.0390 hourly","$0.0117 hourly","$0.0930 hourly","$0.0650 hourly"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0584 hourly","$0.0392 hourly","$0.0175 hourly","$0.0764 hourly","$0.0572 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0604 hourly","$0.0381 hourly","$0.0199 hourly","unavailable","unavailable"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0666 hourly","$0.0420 hourly","$0.0179 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0695 hourly","$0.0441 hourly","$0.0199 hourly","unavailable","unavailable"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0848 hourly","$0.0534 hourly","$0.0254 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0888 hourly","$0.0559 hourly","$0.0436 hourly","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB                 SSD","Moderate","$0.0930 hourly","$0.0650 hourly","$0.0093 hourly","$0.1560 hourly","$0.1130 hourly"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0944 hourly","$0.0623 hourly","$0.0380 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0950 hourly","$0.0599 hourly","$0.0317 hourly","$0.1226 hourly","$0.0875 hourly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0960 hourly","$0.0605 hourly","$0.0443 hourly","unavailable","unavailable"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0999 hourly","$0.0660 hourly","$0.0363 hourly","$0.1919 hourly","$0.1580 hourly"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1000 hourly","$0.0630 hourly","$0.0377 hourly","$0.1920 hourly","$0.1550 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1010 hourly","$0.0630 hourly","$0.0362 hourly","unavailable","unavailable"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.1056 hourly","$0.0665 hourly","$0.0317 hourly","$0.1332 hourly","$0.0941 hourly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1080 hourly","$0.0680 hourly","$0.0445 hourly","$0.2000 hourly","$0.1600 hourly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1080 hourly","$0.0714 hourly","$0.0380 hourly","$0.2000 hourly","$0.1634 hourly"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1110 hourly","$0.0700 hourly","$0.0408 hourly","$0.2030 hourly","$0.1620 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1110 hourly","$0.0733 hourly","$0.0363 hourly","$0.2030 hourly","$0.1653 hourly"
"C5AD Large","c5ad.large","4.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1130 hourly","$0.0710 hourly","$0.0345 hourly","$0.2050 hourly","$0.1630 hourly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1130 hourly","$0.0714 hourly","$0.0362 hourly","unavailable","unavailable"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1140 hourly","$0.0714 hourly","$0.0380 hourly","unavailable","unavailable"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Low to Moderate","$0.1168 hourly","$0.0785 hourly","$0.0350 hourly","$0.1448 hourly","$0.1065 hourly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB                 HDD","Moderate","$0.1170 hourly","$0.0780 hourly","$0.0124 hourly","$0.1870 hourly","$0.1300 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1200 hourly","$0.0794 hourly","$0.0380 hourly","$0.2120 hourly","$0.1714 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1200 hourly","$0.0760 hourly","$0.0393 hourly","$0.2120 hourly","$0.1680 hourly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1208 hourly","$0.0761 hourly","$0.0401 hourly","unavailable","unavailable"
