Name,vCPU,ECU,Memory,junk,Per_Hour
t3.nano,2,Variable,0.5,EBS Only,0.0066
t3.micro,2,Variable,1,EBS Only,0.0132
t3.small,2,Variable,2,EBS Only,0.0264
t3.medium,2,Variable,4,EBS Only,0.0528
t3.large,2,Variable,8,EBS Only,0.1056
t3.xlarge,4,Variable,16,EBS Only,0.2112
t3.2xlarge,8,Variable,32,EBS Only,0.4224
t2.nano,1,Variable,0.5,EBS Only,0.0073
t2.micro,1,Variable,1,EBS Only,0.0146
t2.small,1,Variable,2,EBS Only,0.0292
t2.medium,2,Variable,4,EBS Only,0.0584
t2.large,2,Variable,8,EBS Only,0.1168
t2.xlarge,4,Variable,16,EBS Only,0.2336
t2.2xlarge,8,Variable,32,EBS Only,0.4672
m5.large,2,8,8,EBS Only,0.12
m5.xlarge,4,16,16,EBS Only,0.24
m5.2xlarge,8,31,32,EBS Only,0.48
m5.4xlarge,16,60,64,EBS Only,0.96
m5.12xlarge,48,173,192,EBS Only,2.88
m5.24xlarge,96,345,384,EBS Only,5.76
m5.metal,96,345,384,EBS Only,5.76
m5a.large,2,N/A,8,EBS Only,0.108
m5a.xlarge,4,N/A,16,EBS Only,0.216
m5a.2xlarge,8,N/A,32,EBS Only,0.432
m5a.4xlarge,16,N/A,64,EBS Only,0.864
m5a.12xlarge,48,N/A,192,EBS Only,2.592
m5a.24xlarge,96,N/A,384,EBS Only,5.184
m5d.large,2,8,8,1 x 75 NVMe SSD,0.142
m5d.xlarge,4,16,16,1 x 150 NVMe SSD,0.284
m5d.2xlarge,8,31,32,1 x 300 NVMe SSD,0.568
m5d.4xlarge,16,60,64,2 x 300 NVMe SSD,1.136
m5d.12xlarge,48,173,192,2 x 900 NVMe SSD,3.408
m5d.24xlarge,96,345,384,4 x 900 NVMe SSD,6.816
m5d.metal,96,345,384,4 x 900 NVMe SSD,6.816
m4.large,2,6.5,8,EBS Only,0.125
m4.xlarge,4,13,16,EBS Only,0.25
m4.2xlarge,8,26,32,EBS Only,0.5
m4.4xlarge,16,53.5,64,EBS Only,1
m4.10xlarge,40,124.5,160,EBS Only,2.5
m4.16xlarge,64,188,256,EBS Only,4
c5.large,2,9,4,EBS Only,0.111
c5.xlarge,4,17,8,EBS Only,0.222
c5.2xlarge,8,34,16,EBS Only,0.444
c5.4xlarge,16,68,32,EBS Only,0.888
c5.9xlarge,36,141,72,EBS Only,1.998
c5.18xlarge,72,281,144,EBS Only,3.996
c5d.large,2,9,4,1 x 50 NVMe SSD,0.126
c5d.xlarge,4,17,8,1 x 100 NVMe SSD,0.252
c5d.2xlarge,8,34,16,1 x 200 NVMe SSD,0.504
c5d.4xlarge,16,68,32,1 x 400 NVMe SSD,1.008
c5d.9xlarge,36,141,72,1 x 900 NVMe SSD,2.268
c5d.18xlarge,72,281,144,2 x 900 NVMe SSD,4.536
c4.large,2,8,3.75,EBS Only,0.13
c4.xlarge,4,16,7.5,EBS Only,0.261
c4.2xlarge,8,31,15,EBS Only,0.522
c4.4xlarge,16,62,30,EBS Only,1.042
c4.8xlarge,36,132,60,EBS Only,2.085
p3.2xlarge,8,26,61,EBS Only,4.234
p3.8xlarge,32,94,244,EBS Only,16.936
p3.16xlarge,64,188,488,EBS Only,33.872
p2.xlarge,4,12,61,EBS Only,1.542
p2.8xlarge,32,94,488,EBS Only,12.336
p2.16xlarge,64,188,768,EBS Only,24.672
g3.4xlarge,16,47,122,EBS Only,1.754
g3.8xlarge,32,94,244,EBS Only,3.508
g3.16xlarge,64,188,488,EBS Only,7.016
g3s.xlarge,4,13,30.5,EBS Only,1.154
x1.16xlarge,64,174.5,976,1 x 1920 SSD,9.671
x1.32xlarge,128,349,1952,2 x 1920 SSD,19.341
x1e.xlarge,4,12,122,1 x 120 SSD,1.209
x1e.2xlarge,8,23,244,1 x 240 SSD,2.418
x1e.4xlarge,16,47,488,1 x 480 SSD,4.836
x1e.8xlarge,32,91,976,1 x 960 SSD,9.672
x1e.16xlarge,64,179,1952,1 x 1920 SSD,19.344
x1e.32xlarge,128,340,3904,"2 x 1,920 SSD",38.688
r5.large,2,9,16,EBS Only,0.151
r5.xlarge,4,19,32,EBS Only,0.302
r5.2xlarge,8,38,64,EBS Only,0.604
r5.4xlarge,16,71,128,EBS Only,1.208
r5.12xlarge,48,173,384,EBS Only,3.624
r5.24xlarge,96,347,768,EBS Only,7.248
r5.metal,96,347,768,EBS Only,7.248
r5a.large,2,N/A,16,EBS Only,0.136
r5a.xlarge,4,N/A,32,EBS Only,0.272
r5a.2xlarge,8,N/A,64,EBS Only,0.544
r5a.4xlarge,16,N/A,128,EBS Only,1.088
r5a.12xlarge,48,N/A,384,EBS Only,3.264
r5a.24xlarge,96,N/A,768,EBS Only,6.528
r5d.large,2,10,16,1 x 75 NVMe SSD,0.174
r5d.xlarge,4,19,32,1 x 150 NVMe SSD,0.348
r5d.2xlarge,8,38,64,1 x 300 NVMe SSD,0.696
r5d.4xlarge,16,71,128,2 x 300 NVMe SSD,1.392
r5d.12xlarge,48,173,384,2 x 900 NVMe SSD,4.176
r5d.24xlarge,96,347,768,4 x 900 NVMe SSD,8.352
r5d.metal,96,347,768,4 x 900 NVMe SSD,8.352
r4.large,2,7,15.25,EBS Only,0.1596
r4.xlarge,4,13.5,30.5,EBS Only,0.3192
r4.2xlarge,8,27,61,EBS Only,0.6384
r4.4xlarge,16,53,122,EBS Only,1.2768
r4.8xlarge,32,99,244,EBS Only,2.5536
r4.16xlarge,64,195,488,EBS Only,5.1072
z1d.large,2,15,16,1 x 75 NVMe SSD,0.226
z1d.xlarge,4,28,32,1 x 150 NVMe SSD,0.452
z1d.2xlarge,8,53,64,1 x 300 NVMe SSD,0.904
z1d.3xlarge,12,75,96,1 x 450 NVMe SSD,1.356
z1d.6xlarge,24,134,192,1 x 900 NVMe SSD,2.712
z1d.12xlarge,48,271,384,2 x 900 NVMe SSD,5.424
z1d.metal,48,271,384,2 x 900 NVMe SSD,5.424
i3.large,2,7,15.25,1 x 475 NVMe SSD,0.187
i3.xlarge,4,13,30.5,1 x 950 NVMe SSD,0.374
i3.2xlarge,8,27,61,1 x 1900 NVMe SSD,0.748
i3.4xlarge,16,53,122,2 x 1900 NVMe SSD,1.496
i3.8xlarge,32,99,244,4 x 1900 NVMe SSD,2.992
i3.16xlarge,64,200,488,8 x 1900 NVMe SSD,5.984
d2.xlarge,4,14,30.5,3 x 2000 HDD,0.87
d2.2xlarge,8,28,61,6 x 2000 HDD,1.74
d2.4xlarge,16,56,122,12 x 2000 HDD,3.48
d2.8xlarge,36,116,244,24 x 2000 HDD,6.96
